TotalLength_cm,StandardLength_cm,Weight_g
11.2,8.3,31.2
11,8.3,27.2
9.8,8.3,18.5
11.15,8.3,24.3
11,8.3,16.9
10.7,8.3,19.5
10.85,8.3,23.9
11,8.3,16.9
10.7,8.3,19.5
10.85,8.3,23.9
11.15,8.3,28.3
10.7,8.3,26.2
10.9,8.3,26.5
10.5,8.3,20.8
11.2,8.35,27.3
11.1,8.35,25.2
11.05,8.35,23
10.85,8.4,26
11.2,8.4,26
10.8,8.4,22.9
11,8.4,24.3
11.1,8.4,23.9
10.75,8.4,17.5
10.75,8.4,17.5
11.1,8.4,26
11,8.4,21.9
11,8.4,20
11.1,8.45,25.4
10,8.45,20.7
11.05,8.5,28.9
11.25,8.5,26.7
11.3,8.5,30.1
10.9,8.5,22.9
11.1,8.5,25.1
11,8.5,25.3
11,8.5,24.5
11.25,8.5,15
11,8.5,36.2
11.25,8.5,23.4
11.25,8.5,15
11,8.5,36.2
11.25,8.5,23.4
11.25,8.5,27.5
10.5,8.5,16.9
11.4,8.5,31.12
11,8.5,28.5
11.3,8.55,27.3
11.55,8.55,27.2
11,8.6,25.9
11.3,8.6,28.8
11.2,8.6,26.9
9.7,8.6,18
10,8.6,17.7
11.8,8.6,25.7
11.55,8.6,21.1
11.5,8.6,22.2
11.5,8.6,27.3
11.55,8.6,21.1
11.5,8.6,22.2
11.5,8.6,27.3
11.7,8.6,38.2
11.2,8.6,27.4
10.7,8.65,24.8
11.3,8.65,25
11.3,8.65,25
10.8,8.7,23.7
11.45,8.7,30
11.2,8.7,27.5
11.5,8.75,21
11.5,8.75,21
11.65,8.75,30.4
10.65,8.8,23.2
11.7,8.8,26.6
11.3,8.8,26.6
11.55,8.9,20.6
11.55,8.9,27.6
11.4,8.9,23.1
11.6,8.9,32.6
11.4,8.9,25.9
11.5,8.95,30.1
11.65,8.95,29.3
12,9,33.9
11.6,9,30.4
12.1,9,33.5
11.9,9,33.3
11.95,9,33.7
12,9,33.2
12,9,32.2
11.85,9,30.2
12,9,25.1
11.8,9,22.6
11.8,9,22.6
11.6,9,29.7
11.9,9.1,34.3
11.85,9.1,34.9
11.8,9.1,19.9
12.2,9.1,23.3
12.2,9.1,23.3
11.8,9.1,19.9
12.3,9.1,31.3
12.1,9.15,33.1
12.2,9.15,39.2
11.35,9.15,31.6
11.85,9.15,30.5
11.85,9.15,30.5
12.1,9.2,31.1
12.5,9.2,27.6
12.3,9.2,37.7
12.3,9.2,34.1
12.25,9.25,23.3
12.25,9.25,23.3
12,9.3,31.3
12.2,9.3,34.3
12.5,9.3,29.9
12.5,9.3,29.9
12,9.3,30.6
12.6,9.3,37.8
12.8,9.35,42.4
12.5,9.35,26.9
12.5,9.35,26.9
12.25,9.4,37.5
9.2,9.4,14.6
12.65,9.4,34.4
12.5,9.4,27.5
12.5,9.4,27.5
12.8,9.4,34.2
12.6,9.4,40.4
12.7,9.45,28
12.75,9.5,44.5
12.9,9.5,41.4
12.75,9.5,31.8
12.7,9.5,37.7
13.1,9.5,33.1
12.75,9.5,34.6
12.5,9.5,33
13.1,9.5,33.1
12.75,9.5,34.6
12.5,9.5,33
12.6,9.5,37.5
12.4,9.5,37.6
12.4,9.5,27.1
12.45,9.55,42.1
12.4,9.6,36.1
13,9.6,34.1
12.8,9.6,41.6
12.7,9.7,35.8
13,9.7,33
12.7,9.7,34.9
12.7,9.7,34.9
12.15,9.75,30.9
12.7,9.8,41.4
12.9,9.8,38.25
12.95,9.8,39.5
12.7,9.8,37
13.2,9.85,43.1
13,9.85,37.6
13,9.85,37.6
13.15,9.95,40.5
13.15,9.95,36.3
12.85,10,39.9
13.5,10,39.7
13,10,29.1
13.7,10,50.1
13,10,29.1
13.7,10,50.1
13.6,10,34.3
13.6,10,41.8
12.6,10.05,30.8
13.3,10.1,46
13.6,10.1,36
13.1,10.1,30.5
13.6,10.1,36
13.1,10.1,30.5
13.2,10.15,29.9
13.2,10.2,40.5
13.5,10.2,37.9
13.8,10.2,39.15
13.2,10.2,42.9
13.2,10.2,46.9
13.45,10.25,49.7
13.3,10.25,37.2
13.35,10.25,41.6
13.65,10.25,41.9
13.5,10.25,34.2
13.5,10.25,34.2
13.5,10.3,35.2
13.5,10.3,35.2
14,10.35,46.9
13.7,10.35,36
13.7,10.35,36
13.6,10.35,42
13.5,10.4,49.5
13.1,10.4,42.5
14.1,10.4,39.1
14.1,10.4,39.1
13.6,10.45,38.7
13.95,10.45,46.5
12.6,10.5,32.2
13.9,10.5,53.2
13.75,10.55,45.4
14.5,10.6,41.2
14.5,10.6,41.2
13.8,10.65,43.9
13.5,10.65,48.3
13.75,10.7,56.1
14,10.7,46.3
14,10.7,48.9
14,10.7,47.1
14.6,10.7,58.8
14.25,10.7,49.3
14.25,10.7,49.3
14.35,10.8,48.7
14.35,10.8,48.7
14.45,10.8,46.9
14.15,10.85,53.2
14.5,10.9,52
14.1,10.9,40.5
14.1,10.9,38.2
14.3,10.9,47.7
14.35,11,48.9
14.6,11,48.9
15.5,11,43.3
14.2,11,50.5
15.5,11,43.3
14.2,11,50.5
14.5,11,42.3
14.5,11,60.2
15,11.1,46.6
15,11.1,46.6
14.35,11.2,59.3
15,11.3,53.6
16.5,11.35,75.7
15,11.35,46.2
14.8,11.4,51.7
14.85,11.5,73.3
15,11.5,55.6
16.5,11.5,56.9
15.9,11.6,64.6
15.5,11.7,61.6
15.7,12,62
16,12,35.9
16.5,12,42.6
16,12,35.9
